Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,19-Mar-2013,28-Mar-2013,249.3,96.65,11508.05,11700.0,0.00094,0.02465753425,0.3218359157,96,158.7129778,161.1076229,156.1448564,34.05,57.38948727,60.26205741,56.56126551
BANKNIFTY,19-Mar-2013,28-Mar-2013,195.55,68.2,11508.05,11800.0,0.00094,0.02465753425,0.3395252158,68,135.9343735,140.9786582,134.2874213,22.65,112.5334987,117.614594,111.3666366
BANKNIFTY,19-Mar-2013,28-Mar-2013,312.1,134.4,11508.05,11600.0,0.00094,0.02465753425,0.3575321198,136,225.205932,225.6329016,223.619052,49.9,145.0057366,152.3920469,143.2300258
BANKNIFTY,19-Mar-2013,28-Mar-2013,386.15,176.9,11508.05,11500.0,0.00094,0.02465753425,0.3592135596,182,273.9969905,266.3099719,271.4678697,68.35,203.0461719,201.8742674,200.3721249
BANKNIFTY,19-Mar-2013,28-Mar-2013,548.85,299.7,11508.05,11300.0,0.00094,0.02465753425,0.3241204912,308.75,364.1773121,358.1970722,359.3501728,145.55,153.6444763,157.5439143,151.093694
BANKNIFTY,19-Mar-2013,28-Mar-2013,480,234.95,11508.05,11400.0,0.00094,0.02465753425,0.3149481031,239.45,296.7103666,300.684444,291.3596787,100.85,374.0152598,374.4122429,369.4962527
BANKNIFTY,19-Mar-2013,28-Mar-2013,794.6,543.15,11508.05,11000.0,0.00094,0.02465753425,0.3187654855,540,581.7003045,575.1029591,575.2458194,341.65,249.0976189,255.0750578,245.6273445
BANKNIFTY,19-Mar-2013,28-Mar-2013,598.8,380.0,11508.05,11200.0,0.00094,0.02465753425,0.316966537,380,427.3847545,432.0624394,421.6748291,197.5,302.5742273,306.0665124,298.1254221
BANKNIFTY,19-Mar-2013,28-Mar-2013,510,480.65,11508.05,11100.0,0.00094,0.02465753425,0.3092128016,480,497.3343516,502.1199054,490.505541,262.0,437.9916582,447.5632959,431.8583185
BANKNIFTY,20-Mar-2013,28-Mar-2013,174,68.35,11254.85,11500.0,0.00094,0.02191780822,0.3592135596,75,145.0057366,152.3920469,143.2300258,52.85,132.9095051,139.8798749,130.8332979
BANKNIFTY,20-Mar-2013,28-Mar-2013,222.7,100.85,11254.85,11400.0,0.00094,0.02191780822,0.3149481031,110,153.6444763,157.5439143,151.093694,81.85,93.8283258,91.39624249,92.97746383
BANKNIFTY,20-Mar-2013,28-Mar-2013,125,49.9,11254.85,11600.0,0.00094,0.02191780822,0.3575321198,54,112.5334987,117.614594,111.3666366,34.4,225.1211644,225.5668336,222.1526769
BANKNIFTY,20-Mar-2013,28-Mar-2013,330,197.5,11254.85,11200.0,0.00094,0.02191780822,0.316966537,208.1,249.0976189,255.0750578,245.6273445,165.55,278.1014857,283.1407927,274.2822015
BANKNIFTY,20-Mar-2013,28-Mar-2013,375,262.0,11254.85,11100.0,0.00094,0.02191780822,0.3092128016,270,302.5742273,306.0665124,298.1254221,238.9,180.074189,184.4717114,177.8466693
BANKNIFTY,20-Mar-2013,28-Mar-2013,231,145.55,11254.85,11300.0,0.00094,0.02191780822,0.3241204912,155.25,203.0461719,201.8742674,200.3721249,120.6,348.9298615,350.5230084,345.0202721
BANKNIFTY,20-Mar-2013,28-Mar-2013,521,341.65,11254.85,11000.0,0.00094,0.02191780822,0.3187654855,345.5,374.0152598,374.4122429,369.4962527,302.4,563.7890227,567.3537411,553.4108141
BANKNIFTY,20-Mar-2013,28-Mar-2013,-,1748.3,11254.85,10800.0,0.00094,0.02191780822,0.2965962847,-,515.3523847,519.4412917,508.1924794,1748.3,413.7255673,417.4038514,408.3210013
BANKNIFTY,20-Mar-2013,28-Mar-2013,-,765.0,11254.85,10900.0,0.00094,0.02191780822,0.3021920534,745,437.9916582,447.5632959,431.8583185,500.0,658.9190329,655.5814257,648.0741156
BANKNIFTY,21-Mar-2013,28-Mar-2013,157.2,120.6,11238.35,11300.0,0.00094,0.01917808219,0.3241204912,116.2,180.074189,184.4717114,177.8466693,90.15,97.31159744,95.81237002,96.53237126
BANKNIFTY,21-Mar-2013,28-Mar-2013,73.8,52.85,11238.35,11500.0,0.00094,0.01917808219,0.3592135596,49.35,123.99516,126.3014137,123.2603481,31.7,105.4834193,103.4865992,103.5632232
BANKNIFTY,21-Mar-2013,28-Mar-2013,132.3,81.85,11238.35,11400.0,0.00094,0.01917808219,0.3149481031,76.6,132.9095051,139.8798749,130.8332979,54.4,241.7114225,239.4781785,238.269244
BANKNIFTY,21-Mar-2013,28-Mar-2013,305,238.9,11238.35,11100.0,0.00094,0.01917808219,0.3092128016,233,278.1014857,283.1407927,274.2822015,187.0,310.542226,312.2656603,307.1240388
BANKNIFTY,21-Mar-2013,28-Mar-2013,385,302.4,11238.35,11000.0,0.00094,0.01917808219,0.3187654855,308,348.9298615,350.5230084,345.0202721,284.25,190.8694722,193.4003787,187.816594
