Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13900.00,-,-,-,96.45,-,0.10,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13600.00,-,-,-,5.00,5.00,0.50,-,-,-,25.00,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13700.00,-,-,-,1.00,1.00,0.30,-,-,-,125.00,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13800.00,-,-,-,112.05,-,0.20,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13500.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,3.38,125.00,600.00,25.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13300.00,-,-,-,3.00,3.00,1.90,-,-,-,325.00,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13400.00,3.75,3.75,3.75,3.75,3.75,3.75,33.00,110.58,3093.75,1150.00,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13200.00,4.00,4.35,3.10,3.10,3.10,3.10,118.00,389.50,9963.75,11375.00,225.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13100.00,4.05,5.20,4.05,4.10,4.05,4.10,347.00,1136.81,38248.75,16650.00,-5300.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12900.00,20.00,20.00,5.20,7.20,7.00,7.20,769.00,2482.11,208435.00,26575.00,6675.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12800.00,24.95,24.95,8.95,11.40,9.00,11.40,1265.00,4052.88,488366.25,68175.00,12075.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12700.00,26.15,30.15,10.00,14.75,13.00,14.75,3783.00,12030.75,1972706.25,102050.00,23850.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,13000.00,9.85,10.00,5.50,6.40,6.00,6.40,2000.00,6503.80,379688.75,128700.00,18075.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12500.00,55.60,59.95,28.90,33.10,29.10,33.10,14982.00,46991.09,17234046.25,296075.00,14325.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12600.00,38.00,41.85,19.70,22.75,20.70,22.75,7222.00,22803.96,5466171.25,113325.00,-19800.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12400.00,78.95,83.00,40.00,44.60,40.20,44.60,10441.00,32533.12,16601718.75,169300.00,-2025.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12100.00,180.60,186.85,98.65,107.20,100.70,107.20,11600.00,35515.42,42541730.00,137575.00,49100.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12200.00,140.40,145.85,73.60,81.80,75.60,81.80,11967.00,36840.10,34075156.25,180575.00,45900.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12300.00,105.00,118.20,53.00,59.20,55.10,59.20,12606.00,39029.75,26630397.50,195700.00,50525.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,12000.00,221.50,236.95,132.50,144.80,134.20,144.80,16231.00,49461.89,76888968.75,218050.00,42425.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11700.00,436.65,436.65,274.85,292.30,275.75,292.30,347.00,1044.24,2926696.25,39425.00,-2275.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11800.00,353.50,356.00,215.10,226.75,217.70,226.75,2598.00,7832.42,16831536.25,345675.00,15175.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11900.00,301.00,301.00,172.55,186.25,173.60,186.25,4686.00,14209.14,26828931.25,158075.00,10650.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11400.00,582.00,582.00,534.00,542.00,542.00,542.00,45.00,134.53,627600.00,2900.00,850.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11500.00,572.00,572.00,405.00,413.10,405.00,413.10,338.00,1011.15,3939747.50,22025.00,650.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11600.00,507.90,520.95,342.40,351.60,349.85,351.60,229.00,686.75,2264556.25,39825.00,-1275.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11100.00,-,-,-,795.00,795.00,748.00,-,-,-,100.00,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11000.00,1048.85,1048.85,818.70,833.60,818.70,833.60,8.00,23.83,183342.50,2025.00,-25.00,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,10900.00,-,-,-,765.00,745.00,931.55,-,-,-,125.00,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,10800.00,-,-,-,1748.30,-,1026.65,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,11300.00,600.00,600.00,560.00,560.00,560.00,560.00,11.00,32.63,156000.00,1325.00,200.00,11777.50
